,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
CORD5,-0.004744489,0.0916404,-0.051772896,-0.006971480780424146,0.09895004520336766,-0.07045454159773808,0.4782918149466192,0.07126747
CORD20,-0.004426528,0.09057818,-0.048869684,-0.00647473807214907,0.10001047649228642,-0.06474059170433545,0.49395017793594304,0.07117709
VSUMN30,0.0017645636,0.093676284,0.018836822,0.0023742932162881267,0.079207282546949,0.029975689610660508,0.5231316725978647,0.071152054
VSUMP30,0.0014647562,0.0911291,0.016073417,-0.0017289591103773168,0.07915515328067314,-0.021842657367109074,0.5138790035587188,0.07019731
CORR10,-0.00080509676,0.090833634,-0.00886342,-0.002132965562077978,0.09805907189676585,-0.021751841041337823,0.49466192170818507,0.06973266
CORD30,-0.0036758336,0.0875698,-0.04197604,-0.006099435031964281,0.09705693643996374,-0.06284387934806081,0.4918149466192171,0.068395115
CORD60,-0.0029311953,0.08699939,-0.033692136,-0.004742733669144238,0.09610270105384909,-0.049350675096842475,0.49608540925266903,0.06833711
VSUMN20,0.0013188884,0.088752225,0.01486034,0.0016361565903421787,0.0777522687261785,0.02104319792483843,0.5202846975088968,0.06797962
VMA60,-0.0010084907,0.09069804,-0.01111921,0.0002760675354510803,0.08145980252277456,0.003389002833438848,0.496797153024911,0.0667414
VMA30,-0.0017369054,0.08793064,-0.019753128,-0.0009674251243449715,0.07833818680589505,-0.012349341238247286,0.48540925266903917,0.066423096
VSUMP20,0.0008772971,0.08685851,0.0101002995,-0.0010030954907575451,0.07766142059611218,-0.012916263363396775,0.5160142348754448,0.06628758
WVMA60,0.001028791,0.08334707,0.012343456,-8.901741403930227e-05,0.09923298914425073,-0.000897054556518054,0.501067615658363,0.06555849
VMA20,-0.001877016,0.08633789,-0.02174035,-0.0018163187145413446,0.0779644505027362,-0.023296752171812953,0.49110320284697506,0.06534477
VSUMD60,0.00032923216,0.08714318,0.0037780595,-0.000343934842735888,0.08151678514902663,-0.004219189948612631,0.48469750889679714,0.06507656
CORR5,-0.0035569435,0.08454595,-0.042071126,-0.0062373995206472035,0.08970119686330397,-0.06953529098167432,0.47686832740213525,0.0645529
VSUMD30,-0.00047560176,0.08089424,-0.0058793025,-0.002034794486695635,0.07925878595682065,-0.02567279078784101,0.49466192170818507,0.06242197
VSUMN10,-0.00031407143,0.07900874,-0.0039751474,-0.000788503536413854,0.07625150239058251,-0.010340824879313983,0.49537366548042705,0.061899435
VSUMD20,-0.0002453607,0.08003111,-0.003065816,-0.001266216361667832,0.07779462385533586,-0.016276397212980565,0.48398576512455516,0.06180316
VMA10,-0.002278705,0.081583746,-0.027930867,-0.0026152676078366227,0.07469312389197688,-0.03501349416693226,0.4889679715302491,0.061786797
VSUMP10,0.0014943884,0.077569656,0.019265115,0.0014100319424798368,0.07631179904057189,0.01847724435061132,0.5067615658362989,0.06066605
VSTD60,0.0005695099,0.082058415,0.0069402982,0.00023327681582880063,0.08418998682521037,0.0027708376841148285,0.5081850533807829,0.059212785
VSUMD10,0.0009089714,0.075469345,0.012044245,0.0011679618443166055,0.07631936321633526,0.015303608967095358,0.507473309608541,0.059117284
WVMA30,0.00026825388,0.07488515,0.0035822035,-0.0017659195217242054,0.08621373659117691,-0.02048303886035883,0.4889679715302491,0.058586366
VSTD30,-0.00032958866,0.08031211,-0.0041038473,-0.0037587797737914054,0.07713160545125845,-0.04873202449865295,0.498932384341637,0.058397893
VMA5,-0.0017932912,0.07748324,-0.023144245,-0.0022927290428845716,0.07128814476596845,-0.03216143061089687,0.4832740213523132,0.057943135
WVMA20,0.00153211,0.073698826,0.020788796,-0.001519301064721887,0.08235383746973063,-0.018448452760878115,0.499644128113879,0.05733064
VSTD20,-0.00080986676,0.07925736,-0.010218189,-0.004817765879522238,0.07477515054849478,-0.06443003056339436,0.49608540925266903,0.057290703
VSUMN5,-0.00012899132,0.07321533,-0.0017618074,-0.000805365259842087,0.0728774382424123,-0.011050953062505703,0.49110320284697506,0.057259686
VSUMP5,0.0007242656,0.07142693,0.010139951,0.001417679763438211,0.0727038220340686,0.01949938158381933,0.5067615658362989,0.056310482
VSUMD5,0.00042356626,0.07143047,0.0059297695,0.001165595353702204,0.07290786429584524,0.015987235466123406,0.505338078291815,0.05611289
VSTD10,-0.001808887,0.075942226,-0.02381925,-0.003963257354681638,0.06995188872685536,-0.05665689462064733,0.4918149466192171,0.055502303
WVMA5,0.0014807013,0.07125588,0.020780055,-0.0007411856183485435,0.07549909389968064,-0.009817144576091832,0.498932384341637,0.054350797
WVMA10,5.266191e-05,0.069282144,0.0007601079,-0.002141109408040088,0.07692655451378791,-0.027833160385790097,0.5096085409252669,0.054261535
VSTD5,-0.00069125183,0.07226691,-0.00956526,-0.0007711486676460184,0.06461938854094036,-0.011933702341061692,0.502491103202847,0.053248234
VWAP0,,,,,,,0.0,
